There are 5132 results in 206 pages.
Postcode 1025WE: 4940 EUR/m2 (253m2 E1250000, woonhuis)
Postcode 1018ZS: 4612 EUR/m2 (80m2 E369000, appartement)
 - Running average after this page is 3831
Postcode 1098RK: 4708 EUR/m2 (120m2 E565000, appartement)
Postcode 1098RK: 4946 EUR/m2 (94m2 E465000, appartement)
Postcode 1063BK: 2390 EUR/m2 (73m2 E174500, appartement)
Postcode 1063BP: 1743 EUR/m2 (74m2 E129000, appartement)
Postcode 1063BP: 2358 EUR/m2 (53m2 E125000, appartement)
Postcode 1064CX: 2064 EUR/m2 (77m2 E159000, appartement)
Postcode 1064CX: 1962 EUR/m2 (79m2 E155000, appartement)
Postcode 1064BM: 1823 EUR/m2 (71m2 E129500, appartement)
Postcode 1091SK: 4545 EUR/m2 (55m2 E250000, appartement)
Postcode 1091AG: 3932 EUR/m2 (89m2 E350000, appartement)
Postcode 1033AX: 3086 EUR/m2 (81m2 E250000, woonhuis)
Postcode 1066GJ: 2554 EUR/m2 (92m2 E235000, appartement)
Postcode 1078EE: 4345 EUR/m2 (55m2 E239000, appartement)
Postcode 1093TK: 4365 EUR/m2 (63m2 E275000, appartement)
Postcode 1093VD: 4761 EUR/m2 (84m2 E400000, appartement)
Postcode 1071VS: 5452 EUR/m2 (53m2 E289000, appartement)
Postcode 1063EP: 2532 EUR/m2 (77m2 E195000, woonhuis)
Postcode 1058XT: 4086 EUR/m2 (52m2 E212500, appartement)
Postcode 1053XB: 5723 EUR/m2 (76m2 E435000, appartement)
Postcode 1053ZD: 4378 EUR/m2 (66m2 E289000, appartement)
Postcode 1053ZK: 4694 EUR/m2 (85m2 E399000, appartement)
Postcode 1072VZ: 5263 EUR/m2 (95m2 E500000, appartement)
Postcode 1072VZ: 5766 EUR/m2 (90m2 E519000, appartement)
Postcode 1072XB: 5277 EUR/m2 (54m2 E285000, appartement)
Postcode 1024RS: 2179 EUR/m2 (78m2 E170000, appartement)
 - Running average after this page is 3825
Postcode 1024SC: 2500 EUR/m2 (50m2 E125000, appartement)
Postcode 1024SJ: 2538 EUR/m2 (65m2 E165000, appartement)
Postcode 1071NX: 4944 EUR/m2 (181m2 E895000, appartement)
Postcode 1071PK: 5555 EUR/m2 (225m2 E1250000, appartement)
Postcode 1055VS: 4113 EUR/m2 (79m2 E325000, appartement)
Postcode 1052LK: 5308 EUR/m2 (94m2 E499000, appartement)
Postcode 1091JZ: 3627 EUR/m2 (51m2 E185000, appartement)
Postcode 1033AH: 1875 EUR/m2 (80m2 E150000, appartement)
Postcode 1033AH: 1743 EUR/m2 (80m2 E139500, appartement)
Postcode 1024XR: 2937 EUR/m2 (80m2 E235000, appartement)
Postcode 1025MS: 2540 EUR/m2 (122m2 E310000, woonhuis)
Postcode 1019GD: 3066 EUR/m2 (106m2 E325000, appartement)
Postcode 1094AX: 4104 EUR/m2 (67m2 E275000, appartement)
Postcode 1064DC: 2952 EUR/m2 (125m2 E369000, woonhuis)
Postcode 1028BB: 4538 EUR/m2 (154m2 E699000, woonhuis)
Postcode 1028BP: 4857 EUR/m2 (140m2 E680000, woonhuis)
Postcode 1033JS: 3456 EUR/m2 (173m2 E598011, woonhuis)
Postcode 1024VH: 2333 EUR/m2 (84m2 E196011, appartement)
